TimeStamp,NodeName,CPUsCapacity,CPUsUsage(N),MemoryCapacity(Ki),MemoryUsage(Ki)
1705102942.3756177,controlplane,1,244378869n,2030940Ki,1297848Ki
1705102942.395763,node01,1,31828135n,2030940Ki,734792Ki
1705102944.4396954,controlplane,1,244378869n,2030940Ki,1297848Ki
1705102944.46495,node01,1,31828135n,2030940Ki,734792Ki
1705102946.504245,controlplane,1,244378869n,2030940Ki,1297848Ki
1705102946.5506163,node01,1,31828135n,2030940Ki,734792Ki
1705102948.5996819,controlplane,1,244378869n,2030940Ki,1297848Ki
1705102948.6338317,node01,1,31828135n,2030940Ki,734792Ki
1705102950.6778505,controlplane,1,956462035n,2030940Ki,1401580Ki
1705102950.7309058,node01,1,36073116n,2030940Ki,734096Ki
1705102952.7716146,controlplane,1,956462035n,2030940Ki,1401580Ki
1705102952.7910886,node01,1,36073116n,2030940Ki,734096Ki
1705102954.8371983,controlplane,1,956462035n,2030940Ki,1401580Ki
1705102954.8477278,node01,1,36073116n,2030940Ki,734096Ki
1705102956.9024615,controlplane,1,956462035n,2030940Ki,1401580Ki
1705102956.9438827,node01,1,36073116n,2030940Ki,734096Ki
1705102958.9897768,controlplane,1,956462035n,2030940Ki,1401580Ki
1705102959.015999,node01,1,36073116n,2030940Ki,734096Ki
1705102961.097453,controlplane,1,956462035n,2030940Ki,1401580Ki
1705102961.1155207,node01,1,36073116n,2030940Ki,734096Ki
1705102963.1750114,controlplane,1,956462035n,2030940Ki,1401580Ki
1705102963.1998,node01,1,36073116n,2030940Ki,734096Ki
1705102965.2308004,controlplane,1,999980926n,2030940Ki,1409888Ki
1705102965.2497928,node01,1,34960447n,2030940Ki,734796Ki
1705102967.285796,controlplane,1,999980926n,2030940Ki,1409888Ki
1705102967.3030381,node01,1,34960447n,2030940Ki,734796Ki
1705102969.3401577,controlplane,1,999980926n,2030940Ki,1409888Ki
1705102969.3672621,node01,1,34960447n,2030940Ki,734796Ki
1705102971.4030938,controlplane,1,999980926n,2030940Ki,1409888Ki
1705102971.4229443,node01,1,34960447n,2030940Ki,734796Ki
1705102973.464279,controlplane,1,999980926n,2030940Ki,1409888Ki
1705102973.49383,node01,1,34960447n,2030940Ki,734796Ki
1705102975.5459936,controlplane,1,999980926n,2030940Ki,1409888Ki
1705102975.5711017,node01,1,34960447n,2030940Ki,734796Ki
1705102977.619706,controlplane,1,999980926n,2030940Ki,1409888Ki
1705102977.6410553,node01,1,34960447n,2030940Ki,734796Ki
1705102979.6922987,controlplane,1,999980926n,2030940Ki,1409888Ki
1705102979.7126942,node01,1,34960447n,2030940Ki,734796Ki
1705102981.7588682,controlplane,1,999972853n,2030940Ki,1407400Ki
1705102981.790869,node01,1,36078485n,2030940Ki,733820Ki
1705102983.8454778,controlplane,1,999972853n,2030940Ki,1407400Ki
1705102983.881334,node01,1,36078485n,2030940Ki,733820Ki
1705102985.976012,controlplane,1,999972853n,2030940Ki,1407400Ki
1705102986.0072117,node01,1,36078485n,2030940Ki,733820Ki
1705102988.0439265,controlplane,1,999972853n,2030940Ki,1407400Ki
1705102988.0627072,node01,1,36078485n,2030940Ki,733820Ki
1705102990.103942,controlplane,1,999972853n,2030940Ki,1407400Ki
1705102990.1357005,node01,1,36078485n,2030940Ki,733820Ki
1705102992.1714823,controlplane,1,999972853n,2030940Ki,1407400Ki
1705102992.2013166,node01,1,36078485n,2030940Ki,733820Ki
1705102994.2574878,controlplane,1,999972853n,2030940Ki,1407400Ki
1705102994.2714918,node01,1,36078485n,2030940Ki,733820Ki
1705102996.3185549,controlplane,1,1000110985n,2030940Ki,1400304Ki
1705102996.3420947,node01,1,33434850n,2030940Ki,734740Ki
1705102998.3925734,controlplane,1,1000110985n,2030940Ki,1400304Ki
1705102998.4097428,node01,1,33434850n,2030940Ki,734740Ki
1705103000.4632494,controlplane,1,1000110985n,2030940Ki,1400304Ki
1705103000.4723876,node01,1,33434850n,2030940Ki,734740Ki
1705103002.518532,controlplane,1,1000110985n,2030940Ki,1400304Ki
1705103002.5379293,node01,1,33434850n,2030940Ki,734740Ki
1705103004.5953224,controlplane,1,1000110985n,2030940Ki,1400304Ki
1705103004.6051018,node01,1,33434850n,2030940Ki,734740Ki
1705103006.6396468,controlplane,1,1000110985n,2030940Ki,1400304Ki
1705103006.6705165,node01,1,33434850n,2030940Ki,734740Ki
1705103008.7131462,controlplane,1,1000110985n,2030940Ki,1400304Ki
1705103008.7312796,node01,1,33434850n,2030940Ki,734740Ki
